;Tweets;len;ID;Created;Source;Likes;RTs
0;"RT @Universal_Indo: ""Sebuah Lagu"" dalam 6 detik spesial dari @payungteduh 
Dengarkan single terbaru ""Payung Teduh"" yang terinspirasi dari D…";140;1073179443361860000,00;2018-12-13 11:34:52+00:00;Twitter for iPhone;0;15
1;"RT @Universal_Indo: OUT NOW!! #Repost @payungteduh 💜
•
Video musik #SebuahLagu OST. @wreckitralph sudah bisa disaksikan di Youtube channel…";139;1073171414373430000,00;2018-12-13 11:02:58+00:00;Twitter for iPhone;0;47
2;RT @Saksakame: Alhamdulillah video clip Sebuah Lagu udah release 🕺🏻🎉🎉🎉 @payungteduh #payungteduh #disney #sebuahlagu #WreckItRalph2 https:/…;140;1068461416678470000,00;2018-11-30 11:07:07+00:00;Twitter for iPhone;0;21
3;@nafhanan waaah 😭❤️;19;1068461317034390000,00;2018-11-30 11:06:43+00:00;Twitter for iPhone;4;0
4;"RT @iradioBJM: #ONAIR #SORELAM @payungteduh - Sebuah Lagu #10LaguBaruKeren Bareng Maya Edalia &amp; Aji Rifani #100PersenMusikIndonesia";135;1068461174365110000,00;2018-11-30 11:06:09+00:00;Twitter for iPhone;0;2
5;RT @iradioBJM: #ONAIR @payungteduh - Sebuah Lagu #10LaguBaruKeren Bareng Hirzan Anggoro #100PersenMusikIndonesia;112;1066878645434690000,00;2018-11-26 02:17:45+00:00;Twitter for iPhone;0;2
6;"RT @zoraradio: #EnjoyTheBeat from @payungteduh - Sebuah Lagu || #ZZZ ""  Zore Zeru Di Zora "" || with Beater @PetraFilipuss || #ItsTimeToMove…";140;1065557371429100000,00;2018-11-22 10:47:29+00:00;Twitter for iPhone;0;1
7;"RT @iradioBJM: #ONAIR #SORELAM @payungteduh - Sebuah Lagu #10LaguBaruKeren Bareng Maya Edalia &amp; Elvana Eza #100PersenMusikIndonesia";135;1065557268224030000,00;2018-11-22 10:47:04+00:00;Twitter for iPhone;0;1
8;"Teaser ""Sebuah Lagu"" - Official Soundtrack Disney's #RalphBreaksTheInternet: https://t.co/kJTkLkI3GV melalui @YouTube";117;1063704000409880000,00;2018-11-17 08:02:51+00:00;Google;42;53
9;"Ready to break the internet 💥
#RalphBreaksTheInternet #DisneyID https://t.co/bQVqDG8b5B";87;1060449469500550000,00;2018-11-08 08:30:30+00:00;Twitter for iPhone;99;43
